simID	Nanc	Ncur	Time
sim1068	4487	18	13
sim1069	913	7537	75
sim1070	25371	18775	24
sim1071	1884	19421	11
sim1072	14	12	10
sim1073	11107	3312	97
sim1074	28314	40963	502
sim1075	273	12	10
sim1076	3990	17	13
sim1077	3180	12	10
sim1078	421	6078	26
sim1079	102	5501	57
sim1080	2316	131	36
sim1081	1207	44468	197
sim1082	55	174	16
sim1083	281	111	25
sim1084	44	327	244
sim1085	37	957	25
sim1086	2306	6387	904
sim1087	45	5290	78
sim1088	88	6676	21
sim1089	7198	30	26
sim1090	202	24	18
sim1091	13	12170	171
sim1092	9634	305	14
sim1093	163	146	12
sim1094	16158	114	57
sim1095	715	462	19
sim1096	315	17	10
sim1097	1467	6714	41
sim1098	17371	6484	151
sim1099	74	10	10
sim1100	12	3046	2122
sim1101	15790	62	30
sim1102	243	8335	28
sim1103	119	15	11
sim1104	1285	32163	25
sim1105	291	59	48
sim1106	158	14541	98
sim1107	28060	17	12
sim1108	2188	97	77
sim1109	769	285	14
sim1110	40	37336	391
sim1111	26419	216	48
sim1112	264	4022	24
sim1113	319	910	740
sim1114	3676	102	26
sim1115	303	65	45
sim1116	1199	34843	16
sim1117	31881	145	14
sim1118	200	3621	16
sim1119	598	313	95
sim1120	85	92	56
sim1121	205	186	152
sim1122	1170	1936	16
sim1123	15744	26744	339
sim1124	5483	39	11
sim1125	3179	11586	490
sim1126	19221	57	12
sim1127	237	11	11
sim1128	1901	28	20
sim1129	26803	2709	12
sim1130	464	5598	194
sim1131	805	18	10
sim1132	3597	122	15
sim1133	12015	10	10
sim1134	105	48	40
sim1135	3886	16	15
sim1136	45	10244	696
sim1137	181	22952	15290
sim1138	46064	686	618
sim1139	16932	1664	1102
sim1140	1325	36	35
sim1141	22330	29096	4048
sim1142	3518	136	10
sim1143	26	91	59
sim1144	47	2110	63
sim1145	13	69	63
sim1146	5163	10	10
sim1147	26	30	29
sim1148	25	975	107
sim1149	1037	8541	95
sim1150	467	22	18
sim1151	15	301	102
sim1152	18887	90	38
sim1153	10955	26	11
sim1154	33917	505	12
sim1155	133	61	31
sim1156	382	3155	576
sim1157	30218	55	18
sim1158	148	3536	755
sim1159	12919	2947	26
sim1160	20	28	11
sim1161	34279	7005	4093
sim1162	24043	50	22
sim1163	26141	2535	20
sim1164	19	3298	2097
sim1165	1309	607	26
sim1166	38	700	64
sim1167	37971	48276	37142
sim1168	3986	19	13
sim1169	2055	30800	133
sim1170	355	98	29
sim1171	248	45	41
sim1172	115	7566	5811
sim1173	35	2309	72
sim1174	3733	69	32
sim1175	206	23	10
sim1176	26057	357	24
sim1177	2009	745	126
sim1178	4908	12	12
sim1179	1532	40	28
sim1180	65	46501	16
sim1181	236	17168	475
sim1182	279	33	17
sim1183	68	18688	72
sim1184	25	58	26
sim1185	25	232	218
sim1186	159	14	12
sim1187	117	61	18
sim1188	38	786	690
sim1189	9952	45	13
sim1190	19000	110	74
sim1191	15	18	17
sim1192	45599	27	18
sim1193	971	18	17
sim1194	521	6076	1242
sim1195	78	14	13
sim1196	88	15080	7484
sim1197	405	254	18
sim1198	27	2795	285
sim1199	44	29024	82
sim1200	26032	623	11
sim1201	14	561	16
sim1202	210	305	34
sim1203	575	35	19
sim1204	24	6062	1534
sim1205	457	825	202
sim1206	9805	645	32
sim1207	13	6439	674
sim1208	15758	77	23
sim1209	489	43	28
sim1210	92	1066	261
sim1211	143	2889	317
sim1212	26191	35	24
sim1213	135	132	17
sim1214	10272	61	21
sim1215	425	20	20
sim1216	86	6984	15
sim1217	13	42288	1051
sim1218	20898	15984	14898
sim1219	708	3604	742
sim1220	101	35526	3198
sim1221	560	960	778
sim1222	2358	29	25
sim1223	41	19	15
sim1224	660	374	234
sim1225	315	360	114
sim1226	1220	1086	834
sim1227	16	823	161
sim1228	4260	28	19
sim1229	365	1249	32
sim1230	4992	95	15
sim1231	1012	70	15
sim1232	45	70	36
sim1233	32631	1049	563
sim1234	14190	8335	38
sim1235	7581	2136	377
sim1236	4783	68	22
sim1237	21	16	11
sim1238	13	19815	560
sim1239	14	44312	4246
sim1240	7550	25	10
sim1241	6061	2850	11
sim1242	2105	14616	833
sim1243	724	13758	236
sim1244	32411	101	81
sim1245	20293	325	19
